Project,FilePath,Dependency,NA,RemovedTypes,TotalTypes
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:http-client-spi:2.18.32,,38,67
para,results/para/para-core/deptrim/deptrim.log,software.amazon.awssdk:auth:2.18.32,,108,138
para,results/para/para-core/deptrim/deptrim.log,io.dropwizard.metrics:metrics-core:4.2.12,,62,104
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,com.google.errorprone:error_prone_annotations:2.11.0,,13,26
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,org.checkerframework:checker-qual:3.12.0,,326,333
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,com.google.j2objc:j2objc-annotations:1.3,,8,12
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,org.javassist:javassist:3.29.2-GA,,87,426
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,com.google.guava:guava:31.1-jre,,972,2023
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,com.google.code.findbugs:jsr305:3.0.2,,27,35
javaparser,results/javaparser/javaparser-symbol-solver-core/deptrim/deptrim.log,com.github.javaparser:javaparser-core:3.24.8,,33,629
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-codec-socks:4.1.85.Final,,59,107
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-transport-native-unix-common:4.1.85.Final,,23,32
vertx-unit,results/vertx-unit/deptrim/deptrim.log,org.hamcrest:hamcrest-core:1.3,,35,45
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-codec:4.1.85.Final,,116,214
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-handler:4.1.85.Final,,81,344
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-resolver:4.1.85.Final,,3,29
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-codec-http:4.1.85.Final,,150,385
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-codec-dns:4.1.85.Final,,7,45
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-common:4.1.85.Final,,108,488
vertx-unit,results/vertx-unit/deptrim/deptrim.log,com.fasterxml.jackson.core:jackson-core:2.14.0,,30,161
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-resolver-dns:4.1.85.Final,,8,101
vertx-unit,results/vertx-unit/deptrim/deptrim.log,junit:junit:4.13.1,,136,348
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-transport:4.1.85.Final,,95,366
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-buffer:4.1.85.Final,,26,137
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.netty:netty-codec-http2:4.1.85.Final,,89,277
vertx-unit,results/vertx-unit/deptrim/deptrim.log,io.vertx:vertx-core:4.3.6,,54,778
httpcomponents-client,results/httpcomponents-client/httpclient5/deptrim/deptrim.log,org.apache.httpcomponents.core5:httpcore5-h2:5.2,,56,149
httpcomponents-client,results/httpcomponents-client/httpclient5/deptrim/deptrim.log,org.slf4j:slf4j-api:1.7.36,,7,34
httpcomponents-client,results/httpcomponents-client/httpclient5/deptrim/deptrim.log,org.conscrypt:conscrypt-openjdk-uber:2.5.2,,140,316
httpcomponents-client,results/httpcomponents-client/httpclient5/deptrim/deptrim.log,org.apache.httpcomponents.core5:httpcore5:5.2,,229,635
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-security:9.4.31.v20200723,,23,62
spark,results/spark/deptrim/deptrim.log,org.slf4j:slf4j-api:1.7.25,,13,34
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty.websocket:websocket-api:9.4.31.v20200723,,4,46
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty.websocket:websocket-servlet:9.4.31.v20200723,,1,7
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-io:9.4.31.v20200723,,22,98
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty.websocket:websocket-common:9.4.31.v20200723,,29,119
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-server:9.4.31.v20200723,,107,344
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-servlet:9.4.31.v20200723,,18,57
spark,results/spark/deptrim/deptrim.log,javax.servlet:javax.servlet-api:3.1.0,,6,79
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-http:9.4.31.v20200723,,2,97
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty.websocket:websocket-server:9.4.31.v20200723,,5,18
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-webapp:9.4.31.v20200723,,51,52
spark,results/spark/deptrim/deptrim.log,org.eclipse.jetty:jetty-util:9.4.31.v20200723,,120,315
java-faker,results/java-faker/deptrim/deptrim.log,org.yaml:snakeyaml:1.23,,208,209
java-faker,results/java-faker/deptrim/deptrim.log,org.apache.commons:commons-lang3:3.5,,256,260
java-faker,results/java-faker/deptrim/deptrim.log,com.github.mifmif:generex:1.0.2,,6,7
