Project,Dependency,DependencyJar,TotalOriginalClasses
lettuce-core,io.netty:netty-resolver:4.1.85.Final,netty-resolver-4.1.85.Final,29
lettuce-core,io.netty:netty-resolver-dns:4.1.85.Final,netty-resolver-dns-4.1.85.Final,101
lettuce-core,io.netty:netty-tcnative:2.0.54.Final,netty-tcnative-2.0.54.Final-linux-x86_64,0
lettuce-core,org.jetbrains.kotlin:kotlin-stdlib-common:1.5.30,kotlin-stdlib-common-1.5.30,0
lettuce-core,io.netty:netty-transport-classes-kqueue:4.1.85.Final,netty-transport-classes-kqueue-4.1.85.Final,50
lettuce-core,io.reactivex.rxjava3:rxjava:3.1.5,rxjava-3.1.5,1757
lettuce-core,io.zipkin.reporter2:zipkin-reporter:2.16.3,zipkin-reporter-2.16.3,30
lettuce-core,io.reactivex:rxjava-reactive-streams:1.2.1,rxjava-reactive-streams-1.2.1,15
lettuce-core,io.netty:netty-codec:4.1.85.Final,netty-codec-4.1.85.Final,214
lettuce-core,io.zipkin.brave:brave:5.13.11,brave-5.13.11,251
lettuce-core,org.jetbrains.kotlinx:kotlinx-coroutines-jdk8:1.5.2,kotlinx-coroutines-jdk8-1.5.2,10
lettuce-core,io.netty:netty-handler:4.1.85.Final,netty-handler-4.1.85.Final,344
lettuce-core,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
lettuce-core,io.netty:netty-transport-native-kqueue:4.1.85.Final,netty-transport-native-kqueue-4.1.85.Final-osx-x86_64,0
lettuce-core,io.micrometer:micrometer-core:1.9.6,micrometer-core-1.9.6,366
lettuce-core,io.netty:netty-buffer:4.1.85.Final,netty-buffer-4.1.85.Final,137
lettuce-core,io.zipkin.reporter2:zipkin-reporter-brave:2.16.3,zipkin-reporter-brave-2.16.3,9
lettuce-core,org.jetbrains.kotlin:kotlin-stdlib:1.5.30,kotlin-stdlib-1.5.30,864
lettuce-core,javax.enterprise:cdi-api:2.0.SP1,cdi-api-2.0.SP1,148
lettuce-core,io.netty.incubator:netty-incubator-transport-native-io_uring:0.0.16.Final,netty-incubator-transport-native-io_uring-0.0.16.Final-linux-x86_64,0
lettuce-core,javax.inject:javax.inject:1,javax.inject-1,6
lettuce-core,io.netty.incubator:netty-incubator-transport-classes-io_uring:0.0.16.Final,netty-incubator-transport-classes-io_uring-0.0.16.Final,44
lettuce-core,io.netty:netty-tcnative-classes:2.0.54.Final,netty-tcnative-classes-2.0.54.Final,28
lettuce-core,io.netty:netty-common:4.1.85.Final,netty-common-4.1.85.Final,488
lettuce-core,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.5.30,kotlin-stdlib-jdk8-1.5.30,12
lettuce-core,io.zipkin.zipkin2:zipkin:2.23.2,zipkin-2.23.2,167
lettuce-core,org.latencyutils:LatencyUtils:2.0.3,LatencyUtils-2.0.3,22
lettuce-core,org.hdrhistogram:HdrHistogram:2.1.12,HdrHistogram-2.1.12,96
lettuce-core,org.apache.commons:commons-pool2:2.11.1,commons-pool2-2.11.1,80
lettuce-core,io.reactivex.rxjava2:rxjava:2.2.21,rxjava-2.2.21,1659
